-1  - error

100 - comment
101 - comment
102 - comment
103 - comment
104 - string
105 - digit

201	a
202	n
204	r
203	d
205	r
206	a
207	y
208	b
209	e
210	g
211	i
212	n
213	c
214	a
217	o
215	s
218	n
216	e
219	s
220	t
221	d
222	i
224	o
223	v
225	w
226	n
227	t
228	o
229	e
230	l
233	n
231	s
234	d
232	e
235	f
236	i
239	o
241	u
237	l
240	r
242	n
238	e
243	c
244	t
245	i
246	o
247	n
248	g
249	o
250	t
251	o
252	i
253	f
254	n
255	l
256	a
257	b
258	e
259	l
260	m
261	o
262	d
263	n
264	i
266	o
265	l
267	t
268	o
269	f
270	p
271	a
276	r
272	c
277	o
273	k
278	c
284	g
274	e
279	e
285	r
275	d
280	d
286	a
281	u
287	m
282	r
283	e
288	r
289	e
290	c
294	p
291	o
295	e
292	r
296	a
293	d
297	t
298	s
299	e
300	t
301	t
302	h
305	o
306	y
303	e
307	p
304	n
308	e
309	u
310	s
313	n
311	e
314	t
312	s
315	i
316	l
317	v
318	a
319	r
320	w
321	h
325	i
322	i
326	t
323	l
327	h
324	e


401	:
402	=
403	+
404	-
405	*
406	/
407	%
408	&
409	|
410	!
411	<
412	<
416	=
421	>
413	>
414	>
420	=
415	~
417	=
418	<
419	>

